,PERMNO,Names Date,Standard Industrial Classification Code,Ticker Symbol,Company Name,Price or Bid/Ask Average,Returns,Returns without Dividends,Return on the S&P 500 Index,subset
205,14541,20170228,1311,CVX,CHEVRON CORP NEW,112.5,0.020027,0.010328,0.037198,False
206,14541,20170331,1311,CVX,CHEVRON CORP NEW,107.37,-0.0456,-0.0456,-0.000389,False
207,14541,20170428,1311,CVX,CHEVRON CORP NEW,106.7,-0.00624,-0.00624,0.009091,False
208,14541,20170531,1311,CVX,CHEVRON CORP NEW,103.48,-0.020056,-0.030178,0.011576,False
209,14541,20170630,1311,CVX,CHEVRON CORP NEW,104.33,0.008214,0.008214,0.004814,False
210,14541,20170731,1311,CVX,CHEVRON CORP NEW,109.19,0.046583,0.046583,0.019349,False
211,14541,20170831,1311,CVX,CHEVRON CORP NEW,107.62,-0.004488,-0.014379,0.000546,False
212,14541,20170929,1311,CVX,CHEVRON CORP NEW,117.5,0.091804,0.091804,0.019303,False
213,14541,20171031,1311,CVX,CHEVRON CORP NEW,115.89,-0.013702,-0.013702,0.022188,False
214,14541,20171130,1311,CVX,CHEVRON CORP NEW,118.99,0.036069,0.026749,0.028083,False
215,14541,20171229,1311,CVX,CHEVRON CORP NEW,125.19,0.052105,0.052105,0.009832,False
216,14593,20120131,3571,AAPL,APPLE INC,456.48001,0.127111,0.127111,0.043583,False
217,14593,20120229,3571,AAPL,APPLE INC,542.44,0.188311,0.188311,0.040589,False
218,14593,20120330,3571,AAPL,APPLE INC,599.54999,0.105284,0.105284,0.031332,False
219,14593,20120430,3571,AAPL,APPLE INC,583.97998,-0.025969,-0.025969,-0.007497,False
220,14593,20120531,3571,AAPL,APPLE INC,577.72998,-0.010702,-0.010702,-0.062651,False
221,14593,20120629,3571,AAPL,APPLE INC,584.0,0.010853,0.010853,0.039555,False
222,14593,20120731,3571,AAPL,APPLE INC,610.76001,0.045822,0.045822,0.012598,False
223,14593,20120831,3571,AAPL,APPLE INC,665.23999,0.093539,0.0892,0.019763,False
224,14593,20120928,3571,AAPL,APPLE INC,667.10498,0.002803,0.002803,0.024236,False
225,14593,20121031,3571,AAPL,APPLE INC,595.32001,-0.107607,-0.107607,-0.019789,False
226,14593,20121130,3571,AAPL,APPLE INC,585.28003,-0.012413,-0.016865,0.002847,False
227,14593,20121231,3571,AAPL,APPLE INC,532.17291,-0.090738,-0.090738,0.007068,False
228,14593,20130131,3571,AAPL,APPLE INC,455.48999,-0.144094,-0.144094,0.050428,False
229,14593,20130228,3571,AAPL,APPLE INC,441.39999,-0.025116,-0.030934,0.011061,False
230,14593,20130328,3571,AAPL,APPLE INC,442.66,0.002855,0.002855,0.035988,False
231,14593,20130430,3571,AAPL,APPLE INC,442.78,0.000271,0.000271,0.018086,False
232,14593,20130531,3571,AAPL,APPLE INC,449.73499,0.022596,0.015708,0.020763,False
233,14593,20130628,3571,AAPL,APPLE INC,396.53,-0.118303,-0.118303,-0.014999,False
234,14593,20130731,3571,AAPL,APPLE INC,452.53,0.141225,0.141225,0.049462,False
235,14593,20130830,3571,AAPL,APPLE INC,487.216,0.083389,0.076649,-0.031298,False
236,14593,20130930,3571,AAPL,APPLE INC,476.75,-0.021481,-0.021481,0.029749,False
237,14593,20131031,3571,AAPL,APPLE INC,522.70203,0.096386,0.096386,0.044596,False
238,14593,20131129,3571,AAPL,APPLE INC,556.07001,0.069673,0.063837,0.028049,False
239,14593,20131231,3571,AAPL,APPLE INC,561.02002,0.008902,0.008902,0.023563,False
240,14593,20140131,3571,AAPL,APPLE INC,500.60001,-0.107697,-0.107697,-0.035583,False
241,14593,20140228,3571,AAPL,APPLE INC,526.23999,0.057311,0.051219,0.043117,False
242,14593,20140331,3571,AAPL,APPLE INC,536.73999,0.019953,0.019953,0.006932,False
243,14593,20140430,3571,AAPL,APPLE INC,590.09003,0.099396,0.099396,0.006201,False
244,14593,20140530,3571,AAPL,APPLE INC,633.0,0.078293,0.072718,0.02103,False
245,14593,20140630,3571,AAPL,APPLE INC,92.93,0.027662,0.027662,0.019058,False
246,14593,20140731,3571,AAPL,APPLE INC,95.6,0.028731,0.028731,-0.01508,False
247,14593,20140829,3571,AAPL,APPLE INC,102.5,0.077092,0.072176,0.037655,False
248,14593,20140930,3571,AAPL,APPLE INC,100.75,-0.017073,-0.017073,-0.015514,False
249,14593,20141031,3571,AAPL,APPLE INC,108.0,0.07196,0.07196,0.023201,False
250,14593,20141128,3571,AAPL,APPLE INC,118.93,0.105556,0.101204,0.024534,False
251,14593,20141231,3571,AAPL,APPLE INC,110.38,-0.071891,-0.071891,-0.004189,False
252,14593,20150130,3571,AAPL,APPLE INC,117.16,0.061424,0.061424,-0.031041,False
253,14593,20150227,3571,AAPL,APPLE INC,128.46001,0.100461,0.096449,0.054893,False
254,14593,20150331,3571,AAPL,APPLE INC,124.43,-0.031372,-0.031372,-0.017396,False
255,14593,20150430,3571,AAPL,APPLE INC,125.15,0.005786,0.005786,0.008521,False
256,14593,20150529,3571,AAPL,APPLE INC,130.28,0.045146,0.040991,0.010491,False
257,14593,20150630,3571,AAPL,APPLE INC,125.425,-0.037266,-0.037266,-0.021012,False
258,14593,20150731,3571,AAPL,APPLE INC,121.3,-0.032888,-0.032888,0.019742,False
259,14593,20150831,3571,AAPL,APPLE INC,112.76,-0.066117,-0.070404,-0.062581,False
260,14593,20150930,3571,AAPL,APPLE INC,110.3,-0.021816,-0.021816,-0.026443,False
261,14593,20151030,3571,AAPL,APPLE INC,119.5,0.083409,0.083409,0.082983,False
262,14593,20151130,3571,AAPL,APPLE INC,118.3,-0.00569,-0.010042,0.000505,False
263,14593,20151231,3571,AAPL,APPLE INC,105.26,-0.110228,-0.110228,-0.01753,False
264,14593,20160129,3571,AAPL,APPLE INC,97.34,-0.075242,-0.075242,-0.050735,False
265,14593,20160229,3571,AAPL,APPLE INC,96.69,-0.001335,-0.006678,-0.004128,False
266,14593,20160331,3571,AAPL,APPLE INC,108.99,0.127211,0.127211,0.065991,False
267,14593,20160429,3571,AAPL,APPLE INC,93.74,-0.139921,-0.139921,0.002699,False
268,14593,20160531,3571,AAPL,APPLE INC,99.86,0.071368,0.065287,0.015329,False
269,14593,20160630,3571,AAPL,APPLE INC,95.6,-0.04266,-0.04266,0.000906,False
270,14593,20160729,3571,AAPL,APPLE INC,104.21,0.090063,0.090063,0.03561,False
271,14593,20160831,3571,AAPL,APPLE INC,106.1,0.023606,0.018136,-0.001219,False
272,14593,20160930,3571,AAPL,APPLE INC,113.05,0.065504,0.065504,-0.001234,False
273,14593,20161031,3571,AAPL,APPLE INC,113.54,0.004334,0.004334,-0.019426,False
274,14593,20161130,3571,AAPL,APPLE INC,110.52,-0.021578,-0.026599,0.034174,False
275,14593,20161230,3571,AAPL,APPLE INC,115.82,0.047955,0.047955,0.018201,False
276,14593,20170131,3571,AAPL,APPLE INC,121.35,0.047746,0.047746,0.017884,False
277,14593,20170228,3571,AAPL,APPLE INC,136.99001,0.133581,0.128883,0.037198,False
278,14593,20170331,3571,AAPL,APPLE INC,143.66,0.04869,0.04869,-0.000389,False
279,14593,20170428,3571,AAPL,APPLE INC,143.64999,-7e-05,-7e-05,0.009091,False
280,14593,20170531,3571,AAPL,APPLE INC,152.75999,0.067804,0.063418,0.011576,False
281,14593,20170630,3571,AAPL,APPLE INC,144.02,-0.057214,-0.057214,0.004814,False
282,14593,20170731,3571,AAPL,APPLE INC,148.73,0.032704,0.032704,0.019349,False
283,14593,20170831,3571,AAPL,APPLE INC,164.0,0.106905,0.102669,0.000546,False
284,14593,20170929,3571,AAPL,APPLE INC,154.12,-0.060244,-0.060244,0.019303,False
285,14593,20171031,3571,AAPL,APPLE INC,169.03999,0.096808,0.096808,0.022188,False
286,14593,20171130,3571,AAPL,APPLE INC,171.85001,0.02035,0.016623,0.028083,False
287,14593,20171229,3571,AAPL,APPLE INC,169.23,-0.015246,-0.015246,0.009832,False
289,54244,20120229,5812,BDL,FLANIGANS ENTERPRISES INC,7.58,0.069866,0.069866,0.040589,False
293,54244,20120629,5812,BDL,FLANIGANS ENTERPRISES INC,8.25,0.131687,0.131687,0.039555,False
294,54244,20120731,5812,BDL,FLANIGANS ENTERPRISES INC,8.19,-0.007273,-0.007273,0.012598,False
296,54244,20120928,5812,BDL,FLANIGANS ENTERPRISES INC,7.55,-0.03576,-0.03576,0.024236,False
297,54244,20121031,5812,BDL,FLANIGANS ENTERPRISES INC,7.33,-0.029139,-0.029139,-0.019789,False
298,54244,20121130,5812,BDL,FLANIGANS ENTERPRISES INC,7.48,0.020464,0.020464,0.002847,False
301,54244,20130228,5812,BDL,FLANIGANS ENTERPRISES INC,7.67,-0.010961,-0.010961,0.011061,False
302,54244,20130328,5812,BDL,FLANIGANS ENTERPRISES INC,7.7,0.003911,0.003911,0.035988,False
303,54244,20130430,5812,BDL,FLANIGANS ENTERPRISES INC,7.7,0.0,0.0,0.018086,False
304,54244,20130531,5812,BDL,FLANIGANS ENTERPRISES INC,9.91,0.287013,0.287013,0.020763,False
305,54244,20130628,5812,BDL,FLANIGANS ENTERPRISES INC,9.47,-0.0444,-0.0444,-0.014999,False
307,54244,20130830,5812,BDL,FLANIGANS ENTERPRISES INC,9.8,0.038136,0.038136,-0.031298,False
